Lake;Date;Depth_m;PAR;Temperature_C;Oxygen_mgL
1;2019-08-20;6;;5.4;8.33
1;2019-08-20;7;;5.3;8.09
1;2019-08-20;8;;5.2;5.26
2;2019-08-20;0;345.3;17.7;8.34
2;2019-08-20;0.2;223.7;;
2;2019-08-20;0.5;103.43;17;8.5
2;2019-08-20;1;35.57;16.4;8.54
2;2019-08-20;1.5;13.61;16.2;8.56
2;2019-08-20;2;5.08;15.2;7.27
2;2019-08-20;2.5;2.1;13;4.8
2;2019-08-20;3;0.79;9.6;4.37
2;2019-08-20;4;0.12;7;4.34
2;2019-08-20;5;;5.3;3.5
2;2019-08-20;6;;4.9;1
2;2019-08-20;7;;4.5;0.21
2;2019-08-20;8;;4.4;0.01
1;2019-09-10;0;26.49;13.3;8.83
1;2019-09-10;0.2;21.33;;
1;2019-09-10;0.5;10.63;13;8.71
1;2019-09-10;1;4.2;12.5;8.32
1;2019-09-10;1.5;1.52;12.3;8.25
1;2019-09-10;2;91;12.2;8.27
1;2019-09-10;2.5;0.44;11.9;7.8
1;2019-09-10;3;0.17;10.4;1.82
1;2019-09-10;4;;6.9;2.5
1;2019-09-10;5;;5.8;8.85
1;2019-09-10;6;;5.5;9.01
2;2019-09-10;0;29.92;13.4;8.62
2;2019-09-10;0.2;17.64;;
2;2019-09-10;0.5;8.43;13.2;8.59
2;2019-09-10;1;2.82;12.7;8.32
2;2019-09-10;1.5;1.58;12.5;8.36
2;2019-09-10;2;0.72;12.3;8.4
2;2019-09-10;2.5;0.25;12.2;8.08
2;2019-09-10;3;0.12;10.3;3.68
2;2019-09-10;4;;7.3;3.42
2;2019-09-10;5;;5.5;2.4
2;2019-09-10;6;;4.7;0
2;2019-09-10;7;;4.5;0
1;2019-10-01;0;16.46;6.7;9.3
1;2019-10-01;0.2;8.36;;
1;2019-10-01;0.5;4.62;6.6;9.1
1;2019-10-01;1;1.6;6.6;9.1
1;2019-10-01;1.5;0.69;6.6;9
1;2019-10-01;2;0.42;6.6;9
1;2019-10-01;2.5;0.2;;
1;2019-10-01;3;;6.6;9
1;2019-10-01;4;;6.6;8.9
1;2019-10-01;5;;6.1;8.4
1;2019-10-01;6;;5.4;7.3
1;2019-10-01;7;;5.2;4.5
2;2019-10-01;0;19.42;7;9.07
2;2019-10-01;0.2;10.84;;
2;2019-10-01;0.5;3.12;7;8.98
2;2019-10-01;1;2.06;6.9;8.94
2;2019-10-01;1.5;0.82;6.9;8.93
2;2019-10-01;2;0.34;6.9;9
2;2019-10-01;2.5;0.17;6.9;9
2;2019-10-01;3;;6.9;9
2;2019-10-01;4;;6.8;7.8
2;2019-10-01;5;;5.6;1.5
2;2019-10-01;6;;4.7;0.1
2;2019-10-01;7;;4.5;0
1;2019-07-19;0;;21.2;8.82
1;2019-07-19;0.2;;;
1;2019-07-19;0.5;;;
1;2019-07-19;1;;18;8.83
1;2019-07-19;1.5;;;
1;2019-07-19;2;;14;6.25
1;2019-07-19;2.5;;;
1;2019-07-19;3;;7.9;3.44
1;2019-07-19;4;;5.7;3.33
1;2019-07-19;5;;5;4.58
1;2019-07-19;6;;4.9;7.45
1;2019-07-19;7;;4.8;7.23
2;2019-05-17;0;2035;15.5;10.19
2;2019-05-17;0.2;620.3;13.6;10
2;2019-05-17;0.5;243.8;12.3;10.01
2;2019-05-17;1;71.61;6.4;9.53
2;2019-05-17;1.5;29.18;7.6;9.36
2;2019-05-17;2;9.79;6.5;9.1
2;2019-05-17;2.5;3.89;5.8;8.33
2;2019-05-17;3;1.6;5.4;8.14
2;2019-05-17;4;0.29;5.1;8.05
2;2019-05-17;5;0.05;5;7.88
2;2019-05-17;6;0.01;4.3;3.86
2;2019-05-17;7;;4.2;0.73
2;2019-05-17;8;;4.1;0.32
1;2019-05-17;0;1922.6;14.2;10.11
1;2019-05-17;0.2;463.4;14.4;9.91
1;2019-05-17;0.5;219.5;12.4;9.56
1;2019-05-17;1;66.72;7.5;7.78
1;2019-05-17;1.5;21.11;5.7;7.21
1;2019-05-17;2;;4.9;6.63
1;2019-05-17;2.5;3.81;4.6;6.39
1;2019-05-17;3;1.52;4.4;6.27
1;2019-05-17;4;0.3;4.3;6.05
1;2019-05-17;5;0.05;4.2;5.84
1;2019-05-17;6;0.01;4.2;5.27
1;2019-05-17;7;;4.2;0.32
2;2019-05-19;0;2035;;
2;2019-05-19;0.2;620.3;;
2;2019-05-19;0.5;243.8;;
2;2019-05-19;1;71.61;;
2;2019-05-19;1.5;29.18;;
2;2019-05-19;2;9.79;;
2;2019-05-19;2.5;3.89;;
2;2019-05-19;3;1.6;;
2;2019-05-19;4;0.29;;
2;2019-05-19;5;0.05;;
2;2019-05-19;6;0.01;;
2;2019-05-19;7;;;
2;2019-05-19;8;;;
1;2019-05-19;0;1922.6;;
1;2019-05-19;0.2;463.4;;
1;2019-05-19;0.5;219.5;;
1;2019-05-19;1;66.72;;
1;2019-05-19;1.5;21.11;;
1;2019-05-19;2;;;
1;2019-05-19;2.5;3.81;;
1;2019-05-19;3;1.52;;
1;2019-05-19;4;0.3;;
1;2019-05-19;5;0.05;;
1;2019-05-19;6;0.01;;
1;2019-05-19;7;;;
2;2019-10-25;0;36.63;3.7;9.24
2;2019-10-25;0.2;20.3;;
2;2019-10-25;0.5;8.3;3.6;9.2
2;2019-10-25;1;2.4;3.6;9.29
2;2019-10-25;1.5;0.63;3.6;9.11
2;2019-10-25;2;0.24;3.7;9.05
2;2019-10-25;2.5;;3.8;8.87
2;2019-10-25;3;;3.8;8.82
2;2019-10-25;4;;3.8;8.76
2;2019-10-25;5;;3.9;8.66
2;2019-10-25;6;;4.3;8.05
2;2019-10-25;7;;4.2;0.02
2;2019-10-25;8;;;0.01
1;2019-10-25;0;26.6;2.5;10.7
1;2019-10-25;0.2;11.35;;
1;2019-10-25;0.5;4.79;2.9;10.5
1;2019-10-25;1;1.79;3.1;10.28
1;2019-10-25;1.5;0.59;3.3;10.14
1;2019-10-25;2;0.23;3.6;10.04
1;2019-10-25;2.5;;3.7;10
1;2019-10-25;3;;3.7;9.95
1;2019-10-25;4;;3.7;9.88
1;2019-10-25;5;;3.8;9.83
1;2019-10-25;6;;3.8;9.47
1;2019-10-25;7;;3.8;9.23
1;2019-10-25;7.5;;3.9;8.62
1;2019-11-04;0;;1.1;12.08
1;2019-11-04;0.5;;2.5;10.69
1;2019-11-04;1;;3.3;9.88
1;2019-11-04;1.5;;3.5;9.76
1;2019-11-04;2;;3.5;9.83
1;2019-11-04;2.5;;3.5;9.81
1;2019-11-04;3;;3.7;9.78
1;2019-11-04;3.5;;3.7;9.78
1;2019-11-04;4;;3.7;9.74
1;2019-11-04;5;;3.8;9.54
1;2019-11-04;6;;3.8;9.13
1;2019-11-04;7;;3.9;6.97
1;2019-11-04;7.5;;4;5.55
1;2019-11-04;8;;4.1;3.38
2;2019-11-04;0;;1.3;9.64
2;2019-11-04;0.5;;2.4;9.26
2;2019-11-04;1;;3.3;8.75
2;2019-11-04;1.5;;3.5;8.59
2;2019-11-04;2;;3.7;8.41
2;2019-11-04;2.5;;3.7;8.34
2;2019-11-04;3;;3.7;8.29
2;2019-11-04;3.5;;3.8;8.22
2;2019-11-04;4;;3.8;8.18
2;2019-11-04;5;;3.8;8
2;2019-11-04;6;;3.8;7.58
2;2019-11-04;7;;3.9;6.43
2;2019-11-04;8;;4.1;2.16
1;2019-11-19;0.5;;2.5;10.19
1;2019-11-19;1;;3.1;9.69
1;2019-11-19;1.5;;3.4;9.64
1;2019-11-19;2;;3.6;9.58
1;2019-11-19;2.5;;3.6;9.54
1;2019-11-19;3;;3.7;9.45
1;2019-11-19;4;;3.7;9.1
1;2019-11-19;5;;3.7;8.83
1;2019-11-19;6;;3.8;7.27
1;2019-11-19;7;;3.9;5.28
1;2019-11-19;7.5;;4;1.83
1;2019-11-19;8;;4.1;0
2;2019-11-19;0.5;;1.6;9.24
2;2019-11-19;1;;2.8;8.61
2;2019-11-19;1.5;;3.4;8.42
2;2019-11-19;2;;3.6;8.34
2;2019-11-19;2.5;;3.7;8.29
2;2019-11-19;3;;3.7;8.19
2;2019-11-19;4;;3.8;7.69
2;2019-11-19;5;;3.8;7.32
2;2019-11-19;6;;3.9;6.82
2;2019-11-19;7;;4;5.48
2;2019-11-19;8;;4.1;2.01
1;2019-11-25;0.5;;1.2;11.46
1;2019-11-25;1;;2.7;10.08
1;2019-11-25;1.5;;3.3;9.84
1;2019-11-25;2;;3.6;9.72
1;2019-11-25;2.5;;3.7;9.46
1;2019-11-25;3;;3.7;9.25
1;2019-11-25;4;;3.7;9.07
1;2019-11-25;5;;3.8;8.7
1;2019-11-25;6;;3.8;6.96
1;2019-11-25;7;;3.9;4.09
1;2019-11-25;8;;4;0
1;2019-11-26;0.5;;1.6;10.46
1;2019-11-26;1;;2.5;10.21
1;2019-11-26;1.5;;3.2;9.91
1;2019-11-26;2;;3.6;9.75
1;2019-11-26;2.5;;3.7;9.58
1;2019-11-26;3;;3.8;9.27
1;2019-11-26;4;;3.8;9.07
1;2019-11-26;5;;3.8;8.88
1;2019-11-26;6;;3.9;7.02
1;2019-11-26;7;;4;6.48
1;2019-11-26;8;;4;6.15
2;2019-11-26;0.5;;1.7;8.95
2;2019-11-26;1;;2.7;8.58
2;2019-11-26;1.5;;3.3;8.44
2;2019-11-26;2;;3.6;8.33
2;2019-11-26;2.5;;3.7;8.2
2;2019-11-26;3;;3.8;8
2;2019-11-26;4;;3.8;7.64
2;2019-11-26;5;;3.8;7.25
2;2019-11-26;6;;3.9;6.64
2;2019-11-26;7;;4;5.07
2;2019-11-26;8;;4.1;0.85
1;2019-11-27;0.5;;1.9;10.56
1;2019-11-27;1;;2.6;10.17
1;2019-11-27;1.5;;3.3;9.89
1;2019-11-27;2;;3.6;9.76
1;2019-11-27;2.5;;3.7;9.67
1;2019-11-27;3;;3.7;9.34
1;2019-11-27;4;;3.8;9.21
1;2019-11-27;5;;3.8;8.74
1;2019-11-27;6;;3.9;8.6
1;2019-11-27;7;;3.9;8.33
1;2019-11-27;8;;3.9;8.13
1;2019-11-28;0.5;;1.2;10.53
1;2019-11-28;1;;2.6;10.22
1;2019-11-28;1.5;;3.2;9.93
1;2019-11-28;2;;3.6;9.76
1;2019-11-28;2.5;;3.7;9.61
1;2019-11-28;3;;3.8;9.25
1;2019-11-28;4;;3.7;9.26
1;2019-11-28;5;;3.8;8.51
1;2019-11-28;6;;3.9;9.59
1;2019-11-28;7;;3.9;9.44
1;2019-11-28;8;;3.9;9.3
1;2020-01-02;0.5;;0.8;8.36
1;2020-01-02;1;;1.6;8.98
1;2020-01-02;2;;3.1;8.74
1;2020-01-02;3;;3.6;8.08
1;2020-01-02;4;;3.7;7.44
1;2020-01-02;5;;3.8;6.92
1;2020-01-02;6;;3.9;7.04
1;2020-01-02;6.5;;3.9;5.85
1;2020-01-02;7;;3.9;1.4
1;2020-01-02;7.5;;4;0.3
2;2020-01-02;0.5;;1;8.85
2;2020-01-02;1;;1.6;8.4
2;2020-01-02;2;;3.4;7.9
2;2020-01-02;3;;3.7;7.52
2;2020-01-02;4;;3.8;6.95
2;2020-01-02;5;;3.8;6.35
2;2020-01-02;6;;3.9;5.3
2;2020-01-02;7;;3.9;1.91
2;2020-01-02;8;;4.1;0.24
2;2020-01-02;8.5;;4.1;0.04
1;2020-01-09;0.5;;0.3;8.69
1;2020-01-09;1;;1.7;9.49
1;2020-01-09;1.5;;2.6;9.38
1;2020-01-09;2;;3.2;8.9
1;2020-01-09;2.5;;3.6;8.58
1;2020-01-09;3;;3.7;8.17
1;2020-01-09;4;;3.8;6.5
1;2020-01-09;5;;3.8;6.73
1;2020-01-09;6;;3.9;6.32
1;2020-01-09;7;;4;0.58
1;2020-01-09;7.5;;4.1;0
2;2020-01-09;0.5;;0.4;8.56
2;2020-01-09;1;;1.5;8.37
2;2020-01-09;1.5;;2.6;8.03
2;2020-01-09;2;;3.3;7.85
2;2020-01-09;3;;3.7;7.36
2;2020-01-09;4;;3.8;6.75
2;2020-01-09;5;;3.9;6.07
2;2020-01-09;6;;3.9;5.05
2;2020-01-09;7;;4;1.2
2;2020-01-09;8;;4.1;0
1;2020-01-11;1;;2;9.59
1;2020-01-11;1.5;;2.6;9.41
1;2020-01-11;2;;3.3;8.86
1;2020-01-11;3;;3.7;8.03
1;2020-01-11;4;;3.8;6.82
1;2020-01-11;5;;3.9;6.89
1;2020-01-11;6;;4;7.41
1;2020-01-11;7;;4;7.07
1;2020-01-11;7.5;;4;6.94
1;2020-01-11;7.9;;4;7.04
1;2020-01-15;0.5;;;
1;2020-01-15;1;;1.8;8.76
1;2020-01-15;1.5;;2.5;8.9
1;2020-01-15;2;;3.2;8.54
1;2020-01-15;2.5;;3.6;8.02
1;2020-01-15;3;;3.8;7.56
1;2020-01-15;4;;3.8;6.54
1;2020-01-15;5;;3.9;6.56
1;2020-01-15;6;;4;8.82
1;2020-01-15;7;;4;9.26
1;2020-01-15;7.5;;4;9.33
1;2020-01-15;7.9;;4;9.26
1;2020-01-29;1;;1.3;8.36
1;2020-01-29;1.5;;2.1;8.75
1;2020-01-29;2;;3;8.5
1;2020-01-29;2.5;;3.5;7.88
1;2020-01-29;3;;3.8;7.05
1;2020-01-29;4;;3.9;6.1
1;2020-01-29;5;;3.9;5.13
1;2020-01-29;6;;4;8.67
1;2020-01-29;7;;4;7.19
1;2020-01-29;7.1;;4;6.18
1;2020-01-29;7.5;;4;3.76
1;2020-01-29;7.8;;4;1.9
2;2020-01-29;1;;1.6;8.1
2;2020-01-29;1.5;;2.1;7.85
2;2020-01-29;2;;2.9;7.58
2;2020-01-29;2.5;;3.4;7.1
2;2020-01-29;3;;3.6;7.01
2;2020-01-29;4;;3.8;6.21
2;2020-01-29;5;;3.9;5.22
2;2020-01-29;6;;3.9;4.12
2;2020-01-29;7;;4;0.55
2;2020-01-29;8;;4;0
1;2020-01-31;1;;2.2;8.78
1;2020-01-31;1.5;;2.4;8.99
1;2020-01-31;2;;2.9;8.94
1;2020-01-31;2.5;;3.5;8.28
1;2020-01-31;3;;3.8;7.39
1;2020-01-31;4;;3.9;6.14
1;2020-01-31;5;;3.9;4.89
1;2020-01-31;6;;4;9.29
1;2020-01-31;7;;3.9;9.79
1;2020-01-31;7.5;;3.9;9.74
1;2020-02-03;1;;1.3;8.44
1;2020-02-03;1.5;;2.5;8.72
1;2020-02-03;2;;3;8.48
1;2020-02-03;2.5;;3.6;7.45
1;2020-02-03;3;;3.8;6.67
1;2020-02-03;3.5;;3.8;6.03
1;2020-02-03;4;;3.9;5.95
1;2020-02-03;5;;3.9;6.24
1;2020-02-03;5.5;;4;10.37
1;2020-02-03;6;;3.9;10.72
1;2020-02-03;7;;3.9;10.73
1;2020-02-03;7.5;;4;10.43
1;2020-02-03;7.9;;4;9.3
1;2020-02-05;1;;1.4;8.51
1;2020-02-05;1.5;;2.4;8.9
1;2020-02-05;2;;3.1;8.63
1;2020-02-05;2.5;;3.5;7.97
1;2020-02-05;3;;3.7;7.17
1;2020-02-05;4;;3.8;5.79
1;2020-02-05;5;;3.9;9.34
1;2020-02-05;6;;4;11.07
1;2020-02-05;7;;4;10.85
1;2020-02-05;7.5;;3.9;10.89
1;2020-02-05;7.9;;3.9;10.83
2;2020-02-05;1;;1.4;8.01
2;2020-02-05;1.5;;2.3;7.72
2;2020-02-05;2;;3;7.49
2;2020-02-05;2.5;;3.4;7.2
2;2020-02-05;3;;3.7;6.88
2;2020-02-05;4;;3.8;6.22
2;2020-02-05;5;;3.9;5.12
2;2020-02-05;6;;4;3.36
2;2020-02-05;7;;4;0.31
2;2020-02-05;8;;4.1;0.07
2;2020-02-05;8.5;;4.1;0.02
1;2020-06-15;0;667;21.9;8.8
1;2020-06-15;0.2;413;;
1;2020-06-15;0.5;230;21.3;8.76
1;2020-06-15;1;90.8;17.9;9.61
1;2020-06-15;1.5;40.9;14.2;10.02
1;2020-06-15;2;17.4;9.6;7.96
1;2020-06-15;2.5;6.59;6.5;6.25
1;2020-06-15;3;3.03;5;4.68
1;2020-06-15;4;0.58;4.3;4.95
1;2020-06-15;5;;4.3;8.72
1;2020-06-15;6;;4.2;8.73
1;2020-06-15;7;;4.2;9.05
2;2020-06-15;0;1227;22.1;8.71
2;2020-06-15;0.2;702;;
2;2020-06-15;0.5;389;21.9;8.66
2;2020-06-15;1;130.7;19;9.73
2;2020-06-15;1.5;69.4;14.7;9.4
2;2020-06-15;2;27.2;9.8;7.3
2;2020-06-15;2.5;9.7;8.7;6.93
2;2020-06-15;3;3.74;5.8;5.65
2;2020-06-15;4;0.76;4.4;4.05
2;2020-06-15;5;;4;1.26
2;2020-06-15;6;;4;0
2;2020-07-10;0;1614.8;16.6;8.96
2;2020-07-10;0.2;960.6;;
2;2020-07-10;0.5;648.8;16.2;8.96
2;2020-07-10;1;217.5;15.6;8.99
2;2020-07-10;1.5;96.22;15.4;8.96
2;2020-07-10;2;36.09;14.4;7.58
2;2020-07-10;2.5;14.69;9.8;5.83
2;2020-07-10;3;5.96;6.7;4.8
2;2020-07-10;4;0.91;4.8;3.71
2;2020-07-10;5;0.11;4.2;0.21
2;2020-07-10;6;;4;0.05
2;2020-07-10;7;;4;0.01
1;2020-07-10;0;1664.6;17.2;9.15
1;2020-07-10;0.2;900;;
1;2020-07-10;0.5;591.5;16.6;9.05
1;2020-07-10;1;247.2;15.8;9.05
1;2020-07-10;1.5;146.16;15.5;9
1;2020-07-10;2;67.94;10.3;6.61
1;2020-07-10;2.5;22.35;9.6;6.26
1;2020-07-10;3;11.44;6.6;4.61
1;2020-07-10;4;1.81;4.6;5.24
1;2020-07-10;5;0.25;4.5;9.83
1;2020-07-10;6;0.06;4.4;9.8
1;2020-07-10;7;;4.4;9.8
1;2020-07-27;0;141.16;17.1;9.03
1;2020-07-27;0.2;96.12;;
1;2020-07-27;0.5;46.2;16.9;9.03
1;2020-07-27;1;20.42;15.8;9.08
1;2020-07-27;1.5;9.38;15.2;8.92
1;2020-07-27;2;4.72;14.5;8.69
1;2020-07-27;2.5;2.6;11.8;5.26
1;2020-07-27;3;1.55;8.3;3.62
1;2020-07-27;4;0.3;5.6;5.02
1;2020-07-27;5;0.05;4.7;8.05
1;2020-07-27;6;;4.5;7.92
1;2020-07-27;7;;4.4;7.24
2;2020-07-27;0;245;16.8;8.76
2;2020-07-27;0.2;111.21;;
2;2020-07-27;0.5;42.16;16.8;8.79
2;2020-07-27;1;15.75;15.7;8.74
2;2020-07-27;1.5;6.15;14.6;8.49
2;2020-07-27;2;2.9;13.9;7.87
2;2020-07-27;2.5;1.38;11.8;5
2;2020-07-27;3;0.7;8.8;4.01
2;2020-07-27;4;0.18;5.6;3.13
2;2020-07-27;5;;4.4;0.36
2;2020-07-27;6;;4.1;0
2;2020-07-27;7;;4.1;0
1;2020-08-12;0;1223;20.4;9.2
1;2020-08-12;0.2;921;;
1;2020-08-12;0.5;443;18.8;9.2
1;2020-08-12;1;174;17.3;9.4
1;2020-08-12;1.5;;16.4;9.2
1;2020-08-12;2;28.5;15.5;8.2
1;2020-08-12;2.5;;;
1;2020-08-12;3;;10.3;3.8
1;2020-08-12;4;;6.4;6.1
1;2020-08-12;5;;5.2;12
1;2020-08-12;6;;5.1;12.4
1;2020-08-12;7;;5.1;12.2
2;2020-08-12;0;1215;21.7;9
2;2020-08-12;0.2;680;;
2;2020-08-12;0.5;307;20.7;9
2;2020-08-12;1;128;17.7;8.9
2;2020-08-12;1.5;;16.5;8.8
2;2020-08-12;2;8.15;14.7;6.6
2;2020-08-12;2.5;;;
2;2020-08-12;3;;9.6;3.6
2;2020-08-12;4;;6.2;2.3
2;2020-08-12;5;;4.7;0.3
2;2020-08-12;6;;4.3;0.2
2;2020-08-12;7;;4.2;0.2
1;2020-09-20;0;964.2;13.1;9.85
1;2020-09-20;0.2;624.5;13.1;9.62
1;2020-09-20;0.5;349.8;13.1;9.6
1;2020-09-20;1;137.5;13;9.53
1;2020-09-20;1.5;57.49;;
1;2020-09-20;2;26.29;12.7;8.99
1;2020-09-20;2.5;10.9;12.2;7.8
1;2020-09-20;3;4.65;10.4;2.65
1;2020-09-20;4;0.65;6.8;5.1
1;2020-09-20;5;;5.6;8.97
1;2020-09-20;6;;5.2;10.47
1;2020-09-20;7;;5;9.88
2;2020-09-20;0;858.7;13.7;9.52
2;2020-09-20;0.2;509.9;;
2;2020-09-20;0.5;130;13.6;9.55
2;2020-09-20;1;84.3;13.4;9.52
2;2020-09-20;1.5;32;13.3;9.36
2;2020-09-20;2;13.26;12.9;8.69
2;2020-09-20;2.5;4.91;11.9;5.14
2;2020-09-20;3;1.74;10.3;2.93
2;2020-09-20;4;0.3;6.7;1.95
2;2020-09-20;5;;4.9;0.21
2;2020-09-20;6;;4.3;0.15
2;2020-09-20;7;;4.2;0.13
2;2020-09-28;0;204.2;8.4;9.56
2;2020-09-28;0.2;113.78;;
2;2020-09-28;0.5;50.05;8.2;9.58
2;2020-09-28;1;16.85;8.1;9.56
2;2020-09-28;1.5;6.23;8.1;9.56
2;2020-09-28;2;2.97;8;9.57
2;2020-09-28;2.5;1.27;;
2;2020-09-28;3;0.53;8;9.57
2;2020-09-28;4;;8;9.58
2;2020-09-28;5;;5.9;0.24
2;2020-09-28;6;;4.6;0.15
2;2020-09-28;7;;4.3;0.12
1;2020-09-28;0;132.43;8.1;10.01
1;2020-09-28;0.2;79.02;;
1;2020-09-28;0.5;40.87;8;10.02
1;2020-09-28;1;13.66;8;10
1;2020-09-28;1.5;6.68;7.9;10
1;2020-09-28;2;2.99;7.9;10
1;2020-09-28;2.5;1;;
1;2020-09-28;3;0.71;7.9;9.99
1;2020-09-28;4;0.2;7.9;9.99
1;2020-09-28;5;0.05;6.4;8.33
1;2020-09-28;6;;5.4;8.96
1;2020-09-28;7;;5.1;8.13
